                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     24,               0.023135,               0.014838,              0.0033951,              0.0031614,                0.83338,                0.81815,                0.87373,                0.54962,                0.82888,                0.81591,                0.85701,                0.54176,               0.017756,               0.013649,              0.0050775,              0.0034188,               0.007723,               0.007723,               0.007723
                     25,               0.022981,               0.014799,              0.0033746,              0.0032104,                0.85431,                0.83961,                0.88627,                0.56239,                0.85419,                0.83708,                0.86838,                0.55715,               0.017666,               0.013916,              0.0051361,              0.0022082,               0.007624,               0.007624,               0.007624
                     26,               0.022671,               0.014655,              0.0033078,              0.0028166,                0.85261,                0.83659,                0.90241,                0.58619,                0.82389,                0.81911,                0.88889,                0.58279,               0.017844,                0.01338,              0.0050211,              0.0020746,               0.007525,               0.007525,               0.007525
                     27,               0.022071,               0.014653,              0.0033033,              0.0030906,                0.88667,                0.77738,                0.87324,                0.58579,                0.87414,                0.79212,                0.87525,                0.56744,                0.01692,                0.01337,              0.0050143,              0.0022019,               0.007426,               0.007426,               0.007426
                     28,               0.022219,               0.014639,              0.0033152,               0.002934,                0.86095,                0.82506,                0.91143,                0.58747,                0.88259,                0.79931,                0.90303,                 0.5761,               0.016791,               0.013311,              0.0050469,              0.0020659,               0.007327,               0.007327,               0.007327
                     29,               0.021827,               0.014431,              0.0033081,              0.0029273,                0.79031,                0.82067,                0.85773,                0.54686,                0.79161,                0.81799,                0.84047,                0.54088,               0.017204,               0.013729,               0.005127,              0.0027471,               0.007228,               0.007228,               0.007228
                     30,               0.022473,               0.014412,              0.0032687,              0.0033988,                 0.7692,                0.87131,                0.89244,                 0.5878,                0.78831,                0.84395,                0.88319,                0.58098,               0.016892,               0.013274,              0.0048694,              0.0024038,               0.007129,               0.007129,               0.007129
                     31,               0.021721,               0.014206,              0.0032437,              0.0028674,                0.82926,                0.87265,                0.90904,                0.59751,                0.83296,                0.87698,                0.91099,                0.59535,               0.016525,               0.012982,              0.0049916,              0.0019642,                0.00703,                0.00703,                0.00703
                     32,               0.021884,               0.014206,              0.0032064,              0.0029579,                0.84506,                0.88449,                0.91942,                0.60097,                0.83833,                0.87553,                0.90487,                0.58628,               0.016821,               0.012982,              0.0049448,              0.0015108,               0.006931,               0.006931,               0.006931
                     33,               0.021202,               0.014268,              0.0032366,              0.0027719,                0.82663,                0.86464,                0.91271,                0.59387,                 0.8228,                0.86249,                 0.9036,                0.59442,               0.016408,               0.013045,              0.0047746,              0.0020733,               0.006832,               0.006832,               0.006832
                     34,               0.020635,               0.014095,              0.0031497,              0.0021312,                 0.8772,                0.86309,                0.91944,                0.60503,                0.86499,                0.84818,                 0.9078,                0.60222,               0.016129,               0.012981,              0.0048916,              0.0018233,               0.006733,               0.006733,               0.006733
                     35,               0.021292,               0.013967,              0.0031638,               0.002191,                0.87686,                0.82863,                0.90916,                0.60359,                0.86738,                0.82187,                0.88843,                0.59326,               0.015884,               0.012858,              0.0048455,              0.0016355,               0.006634,               0.006634,               0.006634
                     36,               0.020808,               0.014044,              0.0031715,              0.0021787,                0.81731,                0.87762,                0.90233,                0.59622,                0.83989,                0.86921,                0.90366,                0.59223,               0.015874,                0.01295,              0.0047997,              0.0019356,               0.006535,               0.006535,               0.006535
                     37,                0.02078,               0.013926,              0.0031431,              0.0020539,                0.85127,                0.87378,                0.90726,                0.60163,                0.83669,                0.85535,                0.89661,                0.58889,               0.016579,               0.013317,                0.00479,              0.0021334,               0.006436,               0.006436,               0.006436
                     38,               0.020699,               0.013753,              0.0030774,               0.002352,                0.84166,                0.85985,                 0.9144,                0.59606,                0.84738,                0.86886,                0.91463,                0.59739,               0.016477,               0.013151,              0.0047633,                0.00257,               0.006337,               0.006337,               0.006337
